,index,registeredUsers,appOpens,state,year,quarter
0,north and middle andaman district,632,0,andaman-&-nicobar-islands,2018,1
1,south andaman district,5846,0,andaman-&-nicobar-islands,2018,1
2,nicobars district,262,0,andaman-&-nicobar-islands,2018,1
3,north and middle andaman district,911,0,andaman-&-nicobar-islands,2018,2
4,south andaman district,8143,0,andaman-&-nicobar-islands,2018,2
5,nicobars district,351,0,andaman-&-nicobar-islands,2018,2
6,north and middle andaman district,1208,0,andaman-&-nicobar-islands,2018,3
7,south andaman district,10474,0,andaman-&-nicobar-islands,2018,3
8,nicobars district,467,0,andaman-&-nicobar-islands,2018,3
9,north and middle andaman district,1553,0,andaman-&-nicobar-islands,2018,4
10,south andaman district,13133,0,andaman-&-nicobar-islands,2018,4
11,nicobars district,536,0,andaman-&-nicobar-islands,2018,4
12,north and middle andaman district,2013,0,andaman-&-nicobar-islands,2019,1
13,south andaman district,15961,0,andaman-&-nicobar-islands,2019,1
14,nicobars district,622,0,andaman-&-nicobar-islands,2019,1
15,north and middle andaman district,2417,6118,andaman-&-nicobar-islands,2019,2
16,south andaman district,18621,43569,andaman-&-nicobar-islands,2019,2
17,nicobars district,693,2953,andaman-&-nicobar-islands,2019,2
18,north and middle andaman district,2662,22064,andaman-&-nicobar-islands,2019,3
19,south andaman district,20518,138190,andaman-&-nicobar-islands,2019,3
20,nicobars district,751,10853,andaman-&-nicobar-islands,2019,3
21,north and middle andaman district,2955,26253,andaman-&-nicobar-islands,2019,4
22,south andaman district,22202,139646,andaman-&-nicobar-islands,2019,4
23,nicobars district,803,11113,andaman-&-nicobar-islands,2019,4
24,north and middle andaman district,3315,30444,andaman-&-nicobar-islands,2020,1
25,south andaman district,24174,151529,andaman-&-nicobar-islands,2020,1
26,nicobars district,879,11613,andaman-&-nicobar-islands,2020,1
27,north and middle andaman district,4100,56992,andaman-&-nicobar-islands,2020,2
28,south andaman district,27626,231071,andaman-&-nicobar-islands,2020,2
29,nicobars district,984,17009,andaman-&-nicobar-islands,2020,2
30,north and middle andaman district,5355,76553,andaman-&-nicobar-islands,2020,3
31,south andaman district,34833,417785,andaman-&-nicobar-islands,2020,3
32,nicobars district,1147,21227,andaman-&-nicobar-islands,2020,3
33,north and middle andaman district,7076,125915,andaman-&-nicobar-islands,2020,4
34,south andaman district,43908,725321,andaman-&-nicobar-islands,2020,4
35,nicobars district,1412,35972,andaman-&-nicobar-islands,2020,4
36,north and middle andaman district,7833,121680,andaman-&-nicobar-islands,2021,1
37,south andaman district,48352,837589,andaman-&-nicobar-islands,2021,1
38,nicobars district,1573,45067,andaman-&-nicobar-islands,2021,1
39,north and middle andaman district,8493,596182,andaman-&-nicobar-islands,2021,2
40,south andaman district,51903,1270226,andaman-&-nicobar-islands,2021,2
41,nicobars district,1699,381815,andaman-&-nicobar-islands,2021,2
42,north and middle andaman district,9263,759314,andaman-&-nicobar-islands,2021,3
43,south andaman district,55873,1771107,andaman-&-nicobar-islands,2021,3
44,nicobars district,1846,591204,andaman-&-nicobar-islands,2021,3
45,north and middle andaman district,10002,171921,andaman-&-nicobar-islands,2021,4
46,south andaman district,59807,1863037,andaman-&-nicobar-islands,2021,4
47,nicobars district,1971,77952,andaman-&-nicobar-islands,2021,4
48,north and middle andaman district,10720,904869,andaman-&-nicobar-islands,2022,1
49,south andaman district,63487,2368756,andaman-&-nicobar-islands,2022,1
50,nicobars district,2081,573782,andaman-&-nicobar-islands,2022,1
51,east godavari district,350356,0,andhra-pradesh,2018,1
52,srikakulam district,143839,0,andhra-pradesh,2018,1
53,visakhapatnam district,497187,0,andhra-pradesh,2018,1
54,prakasam district,189949,0,andhra-pradesh,2018,1
55,anantapur district,241192,0,andhra-pradesh,2018,1
56,kurnool district,240133,0,andhra-pradesh,2018,1
57,guntur district,317065,0,andhra-pradesh,2018,1
58,krishna district,323673,0,andhra-pradesh,2018,1
59,spsr nellore district,194475,0,andhra-pradesh,2018,1
60,vizianagaram district,128905,0,andhra-pradesh,2018,1
61,ysr district,186800,0,andhra-pradesh,2018,1
62,west godavari district,213335,0,andhra-pradesh,2018,1
63,chittoor district,309541,0,andhra-pradesh,2018,1
64,east godavari district,454398,0,andhra-pradesh,2018,2
65,srikakulam district,186913,0,andhra-pradesh,2018,2
66,visakhapatnam district,636052,0,andhra-pradesh,2018,2
67,prakasam district,253458,0,andhra-pradesh,2018,2
68,anantapur district,326383,0,andhra-pradesh,2018,2
69,kurnool district,319313,0,andhra-pradesh,2018,2
70,guntur district,420326,0,andhra-pradesh,2018,2
71,krishna district,431965,0,andhra-pradesh,2018,2
72,spsr nellore district,261049,0,andhra-pradesh,2018,2
73,vizianagaram district,167327,0,andhra-pradesh,2018,2
74,ysr district,248657,0,andhra-pradesh,2018,2
75,west godavari district,282393,0,andhra-pradesh,2018,2
76,chittoor district,414306,0,andhra-pradesh,2018,2
77,east godavari district,558982,0,andhra-pradesh,2018,3
78,srikakulam district,228456,0,andhra-pradesh,2018,3
79,visakhapatnam district,769096,0,andhra-pradesh,2018,3
80,prakasam district,314899,0,andhra-pradesh,2018,3
81,anantapur district,405855,0,andhra-pradesh,2018,3
82,kurnool district,394311,0,andhra-pradesh,2018,3
83,guntur district,518931,0,andhra-pradesh,2018,3
84,krishna district,537086,0,andhra-pradesh,2018,3
85,spsr nellore district,322446,0,andhra-pradesh,2018,3
86,vizianagaram district,203655,0,andhra-pradesh,2018,3
87,ysr district,308391,0,andhra-pradesh,2018,3
88,west godavari district,349782,0,andhra-pradesh,2018,3
89,chittoor district,515727,0,andhra-pradesh,2018,3
90,east godavari district,694455,0,andhra-pradesh,2018,4
91,srikakulam district,284874,0,andhra-pradesh,2018,4
92,visakhapatnam district,978288,0,andhra-pradesh,2018,4
93,prakasam district,394962,0,andhra-pradesh,2018,4
94,anantapur district,510892,0,andhra-pradesh,2018,4
95,kurnool district,498582,0,andhra-pradesh,2018,4
96,guntur district,659552,0,andhra-pradesh,2018,4
97,krishna district,682479,0,andhra-pradesh,2018,4
98,spsr nellore district,407495,0,andhra-pradesh,2018,4
99,vizianagaram district,257824,0,andhra-pradesh,2018,4
100,ysr district,387058,0,andhra-pradesh,2018,4
101,west godavari district,435668,0,andhra-pradesh,2018,4
102,chittoor district,665280,0,andhra-pradesh,2018,4
103,east godavari district,839277,0,andhra-pradesh,2019,1
104,srikakulam district,345775,0,andhra-pradesh,2019,1
105,visakhapatnam district,1174517,0,andhra-pradesh,2019,1
106,prakasam district,474260,0,andhra-pradesh,2019,1
107,anantapur district,612162,0,andhra-pradesh,2019,1
108,kurnool district,599422,0,andhra-pradesh,2019,1
109,guntur district,802394,0,andhra-pradesh,2019,1
110,krishna district,833694,0,andhra-pradesh,2019,1
111,spsr nellore district,491908,0,andhra-pradesh,2019,1
112,vizianagaram district,313334,0,andhra-pradesh,2019,1
113,ysr district,460590,0,andhra-pradesh,2019,1
114,west godavari district,523372,0,andhra-pradesh,2019,1
115,chittoor district,812314,0,andhra-pradesh,2019,1
116,east godavari district,945181,7156762,andhra-pradesh,2019,2
117,srikakulam district,392764,3230330,andhra-pradesh,2019,2
118,visakhapatnam district,1318740,13681907,andhra-pradesh,2019,2
119,prakasam district,539462,4488365,andhra-pradesh,2019,2
120,anantapur district,695114,6056591,andhra-pradesh,2019,2
121,kurnool district,680118,6240480,andhra-pradesh,2019,2
122,guntur district,915256,7268875,andhra-pradesh,2019,2
123,krishna district,952300,7822632,andhra-pradesh,2019,2
124,spsr nellore district,558303,4774473,andhra-pradesh,2019,2
125,vizianagaram district,355058,3541678,andhra-pradesh,2019,2
126,ysr district,519031,4345848,andhra-pradesh,2019,2
127,west godavari district,592185,3853094,andhra-pradesh,2019,2
128,chittoor district,925491,8914216,andhra-pradesh,2019,2
129,east godavari district,1057167,28275322,andhra-pradesh,2019,3
130,srikakulam district,437939,11813195,andhra-pradesh,2019,3
131,visakhapatnam district,1460464,54836001,andhra-pradesh,2019,3
132,prakasam district,598568,16267041,andhra-pradesh,2019,3
133,anantapur district,773656,22845084,andhra-pradesh,2019,3
134,kurnool district,755024,22827473,andhra-pradesh,2019,3
135,guntur district,1026418,28477132,andhra-pradesh,2019,3
136,krishna district,1066546,30077671,andhra-pradesh,2019,3
137,spsr nellore district,619592,17768733,andhra-pradesh,2019,3
138,vizianagaram district,394375,13065845,andhra-pradesh,2019,3
139,ysr district,574109,15833900,andhra-pradesh,2019,3
140,west godavari district,662102,14227407,andhra-pradesh,2019,3
141,chittoor district,1032733,34638738,andhra-pradesh,2019,3
142,east godavari district,1195228,38299189,andhra-pradesh,2019,4
143,srikakulam district,496266,16353822,andhra-pradesh,2019,4
144,visakhapatnam district,1620235,70749983,andhra-pradesh,2019,4
145,prakasam district,673522,21639748,andhra-pradesh,2019,4
146,anantapur district,873033,30278539,andhra-pradesh,2019,4
147,kurnool district,846885,29676997,andhra-pradesh,2019,4
148,guntur district,1158708,37846179,andhra-pradesh,2019,4
149,krishna district,1199971,39407473,andhra-pradesh,2019,4
150,spsr nellore district,697154,23608360,andhra-pradesh,2019,4
151,vizianagaram district,443810,17515311,andhra-pradesh,2019,4
152,ysr district,646642,21543798,andhra-pradesh,2019,4
153,west godavari district,750078,19393528,andhra-pradesh,2019,4
154,chittoor district,1156351,44888591,andhra-pradesh,2019,4
155,east godavari district,1329664,46142746,andhra-pradesh,2020,1
156,srikakulam district,552007,20975989,andhra-pradesh,2020,1
157,visakhapatnam district,1763581,77558624,andhra-pradesh,2020,1
158,prakasam district,748655,26870693,andhra-pradesh,2020,1
159,anantapur district,971850,36900103,andhra-pradesh,2020,1
160,kurnool district,936293,34198350,andhra-pradesh,2020,1
161,guntur district,1289678,45282758,andhra-pradesh,2020,1
162,krishna district,1331602,46079408,andhra-pradesh,2020,1
163,spsr nellore district,775440,28879364,andhra-pradesh,2020,1
164,vizianagaram district,490683,21562104,andhra-pradesh,2020,1
165,ysr district,717865,26166193,andhra-pradesh,2020,1
166,west godavari district,843835,24542868,andhra-pradesh,2020,1
167,chittoor district,1270907,51354573,andhra-pradesh,2020,1
168,east godavari district,1459116,45884498,andhra-pradesh,2020,2
169,srikakulam district,608002,23808009,andhra-pradesh,2020,2
170,visakhapatnam district,1904719,69684456,andhra-pradesh,2020,2
171,prakasam district,830709,32255276,andhra-pradesh,2020,2
172,anantapur district,1076953,39704703,andhra-pradesh,2020,2
173,kurnool district,1035093,36268390,andhra-pradesh,2020,2
174,guntur district,1426271,44267596,andhra-pradesh,2020,2
175,krishna district,1459041,41234166,andhra-pradesh,2020,2
176,spsr nellore district,854459,30816403,andhra-pradesh,2020,2
177,vizianagaram district,537798,24370380,andhra-pradesh,2020,2
178,ysr district,796769,29644037,andhra-pradesh,2020,2
179,west godavari district,944829,26583613,andhra-pradesh,2020,2
180,chittoor district,1385916,49820171,andhra-pradesh,2020,2
181,east godavari district,1601940,64292857,andhra-pradesh,2020,3
182,srikakulam district,667858,31794753,andhra-pradesh,2020,3
183,visakhapatnam district,2058346,102589371,andhra-pradesh,2020,3
184,prakasam district,915240,44970519,andhra-pradesh,2020,3
185,anantapur district,1186851,55714787,andhra-pradesh,2020,3
186,kurnool district,1132240,49164718,andhra-pradesh,2020,3
187,guntur district,1567595,62427501,andhra-pradesh,2020,3
188,krishna district,1599289,61028114,andhra-pradesh,2020,3
189,spsr nellore district,937176,43951448,andhra-pradesh,2020,3
190,vizianagaram district,587784,31199437,andhra-pradesh,2020,3
191,ysr district,877909,41578067,andhra-pradesh,2020,3
192,west godavari district,1053674,38126238,andhra-pradesh,2020,3
193,chittoor district,1506503,69462572,andhra-pradesh,2020,3
194,east godavari district,1746280,82605352,andhra-pradesh,2020,4
195,srikakulam district,726761,36770992,andhra-pradesh,2020,4
196,visakhapatnam district,2209658,124730170,andhra-pradesh,2020,4
197,prakasam district,999462,52839846,andhra-pradesh,2020,4
198,anantapur district,1295872,69562398,andhra-pradesh,2020,4
199,kurnool district,1230466,60615045,andhra-pradesh,2020,4
200,guntur district,1712940,81291172,andhra-pradesh,2020,4
201,krishna district,1744028,81787771,andhra-pradesh,2020,4
202,spsr nellore district,1022944,54765443,andhra-pradesh,2020,4
203,vizianagaram district,634462,35110885,andhra-pradesh,2020,4
204,ysr district,959182,49596303,andhra-pradesh,2020,4
205,west godavari district,1163179,51170162,andhra-pradesh,2020,4
206,chittoor district,1631331,88232999,andhra-pradesh,2020,4
207,east godavari district,1878769,91478749,andhra-pradesh,2021,1
208,srikakulam district,782604,40590058,andhra-pradesh,2021,1
209,visakhapatnam district,2368081,135908324,andhra-pradesh,2021,1
210,prakasam district,1075936,56911479,andhra-pradesh,2021,1
211,anantapur district,1394849,73375049,andhra-pradesh,2021,1
212,kurnool district,1323411,65326230,andhra-pradesh,2021,1
213,guntur district,1843237,92731167,andhra-pradesh,2021,1
214,krishna district,1876458,92941553,andhra-pradesh,2021,1
215,spsr nellore district,1100541,60691988,andhra-pradesh,2021,1
216,vizianagaram district,681621,37752539,andhra-pradesh,2021,1
217,ysr district,1032689,53525815,andhra-pradesh,2021,1
218,west godavari district,1254117,57392671,andhra-pradesh,2021,1
219,chittoor district,1751420,99083825,andhra-pradesh,2021,1
220,east godavari district,2006272,84705076,andhra-pradesh,2021,2
221,srikakulam district,837958,43740255,andhra-pradesh,2021,2
222,visakhapatnam district,2526830,114313154,andhra-pradesh,2021,2
223,prakasam district,1151232,76850749,andhra-pradesh,2021,2
224,anantapur district,1492738,104568606,andhra-pradesh,2021,2
225,kurnool district,1415585,81894678,andhra-pradesh,2021,2
226,guntur district,1968681,88248064,andhra-pradesh,2021,2
227,krishna district,2002662,85771678,andhra-pradesh,2021,2
228,spsr nellore district,1176334,74049216,andhra-pradesh,2021,2
229,vizianagaram district,729509,42684475,andhra-pradesh,2021,2
230,ysr district,1103004,72255265,andhra-pradesh,2021,2
231,west godavari district,1339377,65118788,andhra-pradesh,2021,2
232,chittoor district,1870723,110505432,andhra-pradesh,2021,2
233,east godavari district,2150622,103626560,andhra-pradesh,2021,3
234,srikakulam district,902008,48622126,andhra-pradesh,2021,3
235,visakhapatnam district,2707931,139540800,andhra-pradesh,2021,3
236,prakasam district,1239147,91533813,andhra-pradesh,2021,3
237,anantapur district,1606735,124985545,andhra-pradesh,2021,3
238,kurnool district,1522196,101210508,andhra-pradesh,2021,3
239,guntur district,2110878,106621413,andhra-pradesh,2021,3
240,krishna district,2145423,104358295,andhra-pradesh,2021,3
241,spsr nellore district,1263550,90102349,andhra-pradesh,2021,3
242,vizianagaram district,784444,46277311,andhra-pradesh,2021,3
243,ysr district,1183377,86369956,andhra-pradesh,2021,3
244,west godavari district,1436576,80244808,andhra-pradesh,2021,3
245,chittoor district,2007011,135043395,andhra-pradesh,2021,3
246,east godavari district,2294347,142536856,andhra-pradesh,2021,4
247,srikakulam district,965335,61654215,andhra-pradesh,2021,4
248,visakhapatnam district,2888774,188757640,andhra-pradesh,2021,4
249,prakasam district,1325728,86410317,andhra-pradesh,2021,4
250,anantapur district,1719437,120768682,andhra-pradesh,2021,4
251,kurnool district,1628242,97379271,andhra-pradesh,2021,4
252,guntur district,2252443,130920743,andhra-pradesh,2021,4
253,krishna district,2288148,134436469,andhra-pradesh,2021,4
254,spsr nellore district,1349290,90814672,andhra-pradesh,2021,4
255,vizianagaram district,839606,56101822,andhra-pradesh,2021,4
256,ysr district,1262963,83534122,andhra-pradesh,2021,4
257,west godavari district,1532898,100007280,andhra-pradesh,2021,4
258,chittoor district,2141818,154395512,andhra-pradesh,2021,4
259,east godavari district,2432305,87134562,andhra-pradesh,2022,1
260,srikakulam district,1027283,46691467,andhra-pradesh,2022,1
261,visakhapatnam district,3061324,88803090,andhra-pradesh,2022,1
262,prakasam district,1408929,104851997,andhra-pradesh,2022,1
263,anantapur district,1827094,155792533,andhra-pradesh,2022,1
264,kurnool district,1729513,119653214,andhra-pradesh,2022,1
265,guntur district,2387051,88844052,andhra-pradesh,2022,1
266,krishna district,2423373,85871644,andhra-pradesh,2022,1
267,spsr nellore district,1431664,101671767,andhra-pradesh,2022,1
268,vizianagaram district,892889,44804002,andhra-pradesh,2022,1
269,ysr district,1339782,98878499,andhra-pradesh,2022,1
270,west godavari district,1626039,87642475,andhra-pradesh,2022,1
271,chittoor district,2270705,144146671,andhra-pradesh,2022,1
272,lower subansiri district,498,0,arunachal-pradesh,2018,1
273,tirap district,557,0,arunachal-pradesh,2018,1
274,papum pare district,7649,0,arunachal-pradesh,2018,1
275,anjaw district,278,0,arunachal-pradesh,2018,1
276,lower siang district,270,0,arunachal-pradesh,2018,1
277,dibang valley district,66,0,arunachal-pradesh,2018,1
278,west kameng district,2202,0,arunachal-pradesh,2018,1
279,shi yomi district,49,0,arunachal-pradesh,2018,1
280,east kameng district,222,0,arunachal-pradesh,2018,1
281,lohit district,1207,0,arunachal-pradesh,2018,1
282,lepa rada district,210,0,arunachal-pradesh,2018,1
283,lower dibang valley district,601,0,arunachal-pradesh,2018,1
284,longding district,256,0,arunachal-pradesh,2018,1
285,west siang district,846,0,arunachal-pradesh,2018,1
286,kamle district,22,0,arunachal-pradesh,2018,1
287,upper siang district,301,0,arunachal-pradesh,2018,1
288,kurung kumey district,97,0,arunachal-pradesh,2018,1
289,siang district,192,0,arunachal-pradesh,2018,1
290,kra daadi district,88,0,arunachal-pradesh,2018,1
291,changlang district,1208,0,arunachal-pradesh,2018,1
292,pakke kessang district,39,0,arunachal-pradesh,2018,1
293,east siang district,1803,0,arunachal-pradesh,2018,1
294,upper subansiri district,572,0,arunachal-pradesh,2018,1
295,tawang district,1525,0,arunachal-pradesh,2018,1
296,namsai district,737,0,arunachal-pradesh,2018,1
297,lower subansiri district,724,0,arunachal-pradesh,2018,2
298,tirap district,856,0,arunachal-pradesh,2018,2
299,papum pare district,11418,0,arunachal-pradesh,2018,2
300,anjaw district,410,0,arunachal-pradesh,2018,2
301,lower siang district,494,0,arunachal-pradesh,2018,2
302,dibang valley district,112,0,arunachal-pradesh,2018,2
303,west kameng district,3442,0,arunachal-pradesh,2018,2
304,shi yomi district,80,0,arunachal-pradesh,2018,2
305,east kameng district,343,0,arunachal-pradesh,2018,2
306,lohit district,1898,0,arunachal-pradesh,2018,2
307,lepa rada district,318,0,arunachal-pradesh,2018,2
308,lower dibang valley district,893,0,arunachal-pradesh,2018,2
309,longding district,412,0,arunachal-pradesh,2018,2
310,west siang district,1224,0,arunachal-pradesh,2018,2
311,kamle district,37,0,arunachal-pradesh,2018,2
312,upper siang district,481,0,arunachal-pradesh,2018,2
313,kurung kumey district,153,0,arunachal-pradesh,2018,2
314,siang district,293,0,arunachal-pradesh,2018,2
315,kra daadi district,144,0,arunachal-pradesh,2018,2
316,changlang district,2014,0,arunachal-pradesh,2018,2
317,pakke kessang district,66,0,arunachal-pradesh,2018,2
318,east siang district,2646,0,arunachal-pradesh,2018,2
319,upper subansiri district,883,0,arunachal-pradesh,2018,2
320,tawang district,2266,0,arunachal-pradesh,2018,2
321,namsai district,1276,0,arunachal-pradesh,2018,2
322,lower subansiri district,1033,0,arunachal-pradesh,2018,3
323,tirap district,1226,0,arunachal-pradesh,2018,3
324,papum pare district,16009,0,arunachal-pradesh,2018,3
325,anjaw district,542,0,arunachal-pradesh,2018,3
326,lower siang district,717,0,arunachal-pradesh,2018,3
327,dibang valley district,145,0,arunachal-pradesh,2018,3
328,west kameng district,4765,0,arunachal-pradesh,2018,3
329,shi yomi district,118,0,arunachal-pradesh,2018,3
330,east kameng district,521,0,arunachal-pradesh,2018,3
331,lohit district,2612,0,arunachal-pradesh,2018,3
332,lepa rada district,431,0,arunachal-pradesh,2018,3
333,lower dibang valley district,1286,0,arunachal-pradesh,2018,3
334,longding district,644,0,arunachal-pradesh,2018,3
335,west siang district,1652,0,arunachal-pradesh,2018,3
336,kamle district,65,0,arunachal-pradesh,2018,3
337,upper siang district,646,0,arunachal-pradesh,2018,3
338,kurung kumey district,222,0,arunachal-pradesh,2018,3
339,siang district,373,0,arunachal-pradesh,2018,3
340,kra daadi district,190,0,arunachal-pradesh,2018,3
341,changlang district,2889,0,arunachal-pradesh,2018,3
342,pakke kessang district,103,0,arunachal-pradesh,2018,3
343,east siang district,3590,0,arunachal-pradesh,2018,3
344,upper subansiri district,1169,0,arunachal-pradesh,2018,3
345,tawang district,3112,0,arunachal-pradesh,2018,3
346,namsai district,1862,0,arunachal-pradesh,2018,3
347,lower subansiri district,1459,0,arunachal-pradesh,2018,4
348,tirap district,1684,0,arunachal-pradesh,2018,4
349,papum pare district,21342,0,arunachal-pradesh,2018,4
350,anjaw district,744,0,arunachal-pradesh,2018,4
351,lower siang district,936,0,arunachal-pradesh,2018,4
352,dibang valley district,178,0,arunachal-pradesh,2018,4
353,west kameng district,6492,0,arunachal-pradesh,2018,4
354,shi yomi district,144,0,arunachal-pradesh,2018,4
355,east kameng district,691,0,arunachal-pradesh,2018,4
356,lohit district,3588,0,arunachal-pradesh,2018,4
357,lepa rada district,548,0,arunachal-pradesh,2018,4
358,lower dibang valley district,1827,0,arunachal-pradesh,2018,4
359,longding district,923,0,arunachal-pradesh,2018,4
360,west siang district,2117,0,arunachal-pradesh,2018,4
361,kamle district,109,0,arunachal-pradesh,2018,4
362,upper siang district,868,0,arunachal-pradesh,2018,4
363,kurung kumey district,321,0,arunachal-pradesh,2018,4
364,siang district,483,0,arunachal-pradesh,2018,4
365,kra daadi district,255,0,arunachal-pradesh,2018,4
366,changlang district,4036,0,arunachal-pradesh,2018,4
367,pakke kessang district,138,0,arunachal-pradesh,2018,4
368,east siang district,4813,0,arunachal-pradesh,2018,4
369,upper subansiri district,1576,0,arunachal-pradesh,2018,4
370,tawang district,4085,0,arunachal-pradesh,2018,4
371,namsai district,2495,0,arunachal-pradesh,2018,4
372,lower subansiri district,1879,0,arunachal-pradesh,2019,1
373,tirap district,2082,0,arunachal-pradesh,2019,1
374,papum pare district,26298,0,arunachal-pradesh,2019,1
375,anjaw district,934,0,arunachal-pradesh,2019,1
376,lower siang district,1123,0,arunachal-pradesh,2019,1
377,dibang valley district,211,0,arunachal-pradesh,2019,1
378,west kameng district,8115,0,arunachal-pradesh,2019,1
379,shi yomi district,186,0,arunachal-pradesh,2019,1
380,east kameng district,876,0,arunachal-pradesh,2019,1
381,lohit district,4416,0,arunachal-pradesh,2019,1
382,lepa rada district,710,0,arunachal-pradesh,2019,1
383,lower dibang valley district,2314,0,arunachal-pradesh,2019,1
384,longding district,1152,0,arunachal-pradesh,2019,1
385,west siang district,2656,0,arunachal-pradesh,2019,1
386,kamle district,141,0,arunachal-pradesh,2019,1
387,upper siang district,1125,0,arunachal-pradesh,2019,1
388,kurung kumey district,385,0,arunachal-pradesh,2019,1
389,siang district,651,0,arunachal-pradesh,2019,1
390,kra daadi district,350,0,arunachal-pradesh,2019,1
391,changlang district,5210,0,arunachal-pradesh,2019,1
392,pakke kessang district,162,0,arunachal-pradesh,2019,1
393,east siang district,5899,0,arunachal-pradesh,2019,1
394,upper subansiri district,1906,0,arunachal-pradesh,2019,1
395,tawang district,5023,0,arunachal-pradesh,2019,1
396,namsai district,3153,0,arunachal-pradesh,2019,1
397,lower subansiri district,2463,11644,arunachal-pradesh,2019,2
398,tirap district,2697,12779,arunachal-pradesh,2019,2
399,papum pare district,32800,163673,arunachal-pradesh,2019,2
400,anjaw district,1175,4993,arunachal-pradesh,2019,2
401,lower siang district,1457,7737,arunachal-pradesh,2019,2
402,dibang valley district,241,258,arunachal-pradesh,2019,2
403,west kameng district,9782,73944,arunachal-pradesh,2019,2
404,shi yomi district,225,24,arunachal-pradesh,2019,2
405,east kameng district,1075,4146,arunachal-pradesh,2019,2
406,lohit district,5485,32550,arunachal-pradesh,2019,2
407,lepa rada district,903,4196,arunachal-pradesh,2019,2
408,lower dibang valley district,2842,12669,arunachal-pradesh,2019,2
409,longding district,1420,13256,arunachal-pradesh,2019,2
410,west siang district,3393,15972,arunachal-pradesh,2019,2
411,kamle district,212,972,arunachal-pradesh,2019,2
412,upper siang district,1372,2710,arunachal-pradesh,2019,2
413,kurung kumey district,481,2171,arunachal-pradesh,2019,2
414,siang district,831,3209,arunachal-pradesh,2019,2
415,kra daadi district,440,2639,arunachal-pradesh,2019,2
416,changlang district,6884,37725,arunachal-pradesh,2019,2
417,pakke kessang district,211,1237,arunachal-pradesh,2019,2
418,east siang district,7319,34596,arunachal-pradesh,2019,2
419,upper subansiri district,2355,9043,arunachal-pradesh,2019,2
420,tawang district,5908,32103,arunachal-pradesh,2019,2
421,namsai district,3914,18627,arunachal-pradesh,2019,2
422,lower subansiri district,2928,42877,arunachal-pradesh,2019,3
423,tirap district,3099,49222,arunachal-pradesh,2019,3
424,papum pare district,38845,582435,arunachal-pradesh,2019,3
425,anjaw district,1358,19509,arunachal-pradesh,2019,3
426,lower siang district,1689,25736,arunachal-pradesh,2019,3
427,dibang valley district,271,1436,arunachal-pradesh,2019,3
428,west kameng district,11186,260068,arunachal-pradesh,2019,3
429,shi yomi district,239,158,arunachal-pradesh,2019,3
430,east kameng district,1304,19974,arunachal-pradesh,2019,3
431,lohit district,6421,112322,arunachal-pradesh,2019,3
432,lepa rada district,1064,13695,arunachal-pradesh,2019,3
433,lower dibang valley district,3398,43057,arunachal-pradesh,2019,3
434,longding district,1634,46571,arunachal-pradesh,2019,3
435,west siang district,4101,64241,arunachal-pradesh,2019,3
436,kamle district,258,3686,arunachal-pradesh,2019,3
437,upper siang district,1486,8960,arunachal-pradesh,2019,3
438,kurung kumey district,572,8396,arunachal-pradesh,2019,3
439,siang district,948,13437,arunachal-pradesh,2019,3
440,kra daadi district,524,11363,arunachal-pradesh,2019,3
441,changlang district,8145,139098,arunachal-pradesh,2019,3
442,pakke kessang district,244,5099,arunachal-pradesh,2019,3
443,east siang district,8571,118071,arunachal-pradesh,2019,3
444,upper subansiri district,2748,35114,arunachal-pradesh,2019,3
445,tawang district,6553,114907,arunachal-pradesh,2019,3
446,namsai district,4563,72268,arunachal-pradesh,2019,3
447,lower subansiri district,3564,53396,arunachal-pradesh,2019,4
448,tirap district,3605,67097,arunachal-pradesh,2019,4
449,papum pare district,44746,670934,arunachal-pradesh,2019,4
450,anjaw district,1564,23729,arunachal-pradesh,2019,4
451,lower siang district,1921,28156,arunachal-pradesh,2019,4
452,dibang valley district,289,1738,arunachal-pradesh,2019,4
453,west kameng district,12562,313584,arunachal-pradesh,2019,4
454,shi yomi district,266,880,arunachal-pradesh,2019,4
455,east kameng district,1623,27850,arunachal-pradesh,2019,4
456,lohit district,7386,129353,arunachal-pradesh,2019,4
457,lepa rada district,1263,20798,arunachal-pradesh,2019,4
458,lower dibang valley district,3944,50034,arunachal-pradesh,2019,4
459,longding district,1847,48945,arunachal-pradesh,2019,4
460,west siang district,4773,70790,arunachal-pradesh,2019,4
461,kamle district,323,5098,arunachal-pradesh,2019,4
462,upper siang district,1804,26060,arunachal-pradesh,2019,4
463,kurung kumey district,653,7904,arunachal-pradesh,2019,4
464,siang district,1131,19220,arunachal-pradesh,2019,4
465,kra daadi district,603,13700,arunachal-pradesh,2019,4
466,changlang district,9662,152680,arunachal-pradesh,2019,4
467,pakke kessang district,296,5981,arunachal-pradesh,2019,4
468,east siang district,9859,132534,arunachal-pradesh,2019,4
469,upper subansiri district,3144,42354,arunachal-pradesh,2019,4
470,tawang district,7303,139898,arunachal-pradesh,2019,4
471,namsai district,5190,87627,arunachal-pradesh,2019,4
472,lower subansiri district,4351,72887,arunachal-pradesh,2020,1
473,tirap district,4261,76554,arunachal-pradesh,2020,1
474,papum pare district,51342,819599,arunachal-pradesh,2020,1
475,anjaw district,1747,25453,arunachal-pradesh,2020,1
476,lower siang district,2201,35216,arunachal-pradesh,2020,1
477,dibang valley district,320,2195,arunachal-pradesh,2020,1
478,west kameng district,13983,332479,arunachal-pradesh,2020,1
