,name,registeredUsers,state,year,quarter
102,744211,783,andaman-&-nicobar-islands,2019,4
103,744301,611,andaman-&-nicobar-islands,2019,4
104,south andaman,24174,andaman-&-nicobar-islands,2020,1
105,north and middle andaman,3315,andaman-&-nicobar-islands,2020,1
106,nicobars,879,andaman-&-nicobar-islands,2020,1
107,744103,6108,andaman-&-nicobar-islands,2020,1
108,744101,4689,andaman-&-nicobar-islands,2020,1
109,744105,4684,andaman-&-nicobar-islands,2020,1
110,744102,3727,andaman-&-nicobar-islands,2020,1
111,744202,1216,andaman-&-nicobar-islands,2020,1
112,744104,1154,andaman-&-nicobar-islands,2020,1
113,744107,1062,andaman-&-nicobar-islands,2020,1
114,744112,889,andaman-&-nicobar-islands,2020,1
115,744211,886,andaman-&-nicobar-islands,2020,1
116,744301,669,andaman-&-nicobar-islands,2020,1
117,south andaman,27626,andaman-&-nicobar-islands,2020,2
118,north and middle andaman,4100,andaman-&-nicobar-islands,2020,2
119,nicobars,984,andaman-&-nicobar-islands,2020,2
120,744103,6804,andaman-&-nicobar-islands,2020,2
121,744105,5479,andaman-&-nicobar-islands,2020,2
122,744101,5365,andaman-&-nicobar-islands,2020,2
123,744102,4066,andaman-&-nicobar-islands,2020,2
124,744202,1475,andaman-&-nicobar-islands,2020,2
125,744104,1333,andaman-&-nicobar-islands,2020,2
126,744107,1252,andaman-&-nicobar-islands,2020,2
127,744112,1039,andaman-&-nicobar-islands,2020,2
128,744211,1036,andaman-&-nicobar-islands,2020,2
129,744205,806,andaman-&-nicobar-islands,2020,2
130,south andaman,34833,andaman-&-nicobar-islands,2020,3
131,north and middle andaman,5355,andaman-&-nicobar-islands,2020,3
132,nicobars,1147,andaman-&-nicobar-islands,2020,3
133,744103,8318,andaman-&-nicobar-islands,2020,3
134,744105,7007,andaman-&-nicobar-islands,2020,3
135,744101,6881,andaman-&-nicobar-islands,2020,3
136,744102,4919,andaman-&-nicobar-islands,2020,3
137,744202,1965,andaman-&-nicobar-islands,2020,3
138,744104,1718,andaman-&-nicobar-islands,2020,3
139,744107,1710,andaman-&-nicobar-islands,2020,3
140,744112,1372,andaman-&-nicobar-islands,2020,3
141,744211,1279,andaman-&-nicobar-islands,2020,3
142,744205,1008,andaman-&-nicobar-islands,2020,3
143,south andaman,43908,andaman-&-nicobar-islands,2020,4
144,north and middle andaman,7076,andaman-&-nicobar-islands,2020,4
145,nicobars,1412,andaman-&-nicobar-islands,2020,4
146,744103,10408,andaman-&-nicobar-islands,2020,4
147,744105,8962,andaman-&-nicobar-islands,2020,4
148,744101,8593,andaman-&-nicobar-islands,2020,4
149,744102,5882,andaman-&-nicobar-islands,2020,4
150,744202,2711,andaman-&-nicobar-islands,2020,4
151,744107,2346,andaman-&-nicobar-islands,2020,4
152,744104,2167,andaman-&-nicobar-islands,2020,4
153,744112,1761,andaman-&-nicobar-islands,2020,4
154,744211,1579,andaman-&-nicobar-islands,2020,4
155,744205,1346,andaman-&-nicobar-islands,2020,4
156,south andaman,48352,andaman-&-nicobar-islands,2021,1
157,north and middle andaman,7833,andaman-&-nicobar-islands,2021,1
158,nicobars,1573,andaman-&-nicobar-islands,2021,1
159,744103,11416,andaman-&-nicobar-islands,2021,1
160,744105,9934,andaman-&-nicobar-islands,2021,1
161,744101,9457,andaman-&-nicobar-islands,2021,1
162,744102,6395,andaman-&-nicobar-islands,2021,1
163,744202,3005,andaman-&-nicobar-islands,2021,1
164,744107,2586,andaman-&-nicobar-islands,2021,1
165,744104,2383,andaman-&-nicobar-islands,2021,1
166,744112,1940,andaman-&-nicobar-islands,2021,1
167,744211,1774,andaman-&-nicobar-islands,2021,1
168,744205,1505,andaman-&-nicobar-islands,2021,1
169,south andaman,51903,andaman-&-nicobar-islands,2021,2
170,north and middle andaman,8493,andaman-&-nicobar-islands,2021,2
171,nicobars,1699,andaman-&-nicobar-islands,2021,2
