,name,state,year,quarter,count,amount
74,chittoor district,andhra-pradesh,2018,2,1185723,1990419125.8937118
75,guntur district,andhra-pradesh,2018,2,1088101,2108475811.7859967
76,krishna district,andhra-pradesh,2018,2,1224987,2448141593.4919834
77,east godavari district,andhra-pradesh,2018,3,3226907,3551247095.307447
78,srikakulam district,andhra-pradesh,2018,3,1073883,1318322236.598471
79,spsr nellore district,andhra-pradesh,2018,3,1308890,2215938596.185108
80,vizianagaram district,andhra-pradesh,2018,3,970132,1163546006.895916
81,visakhapatnam district,andhra-pradesh,2018,3,3394576,4821892253.393524
82,prakasam district,andhra-pradesh,2018,3,1319651,2346453445.483843
83,anantapur district,andhra-pradesh,2018,3,1815215,2681787750.464165
84,ysr district,andhra-pradesh,2018,3,1557444,2235904512.2542048
85,west godavari district,andhra-pradesh,2018,3,1431282,2309078492.8058147
86,kurnool district,andhra-pradesh,2018,3,2921189,2908389261.539773
87,chittoor district,andhra-pradesh,2018,3,2297429,3283517630.720593
88,guntur district,andhra-pradesh,2018,3,1912529,3127764663.180438
89,krishna district,andhra-pradesh,2018,3,2396934,3754202654.3844614
90,east godavari district,andhra-pradesh,2018,4,3052762,4652624623.436675
91,srikakulam district,andhra-pradesh,2018,4,1252807,1870278609.504549
92,spsr nellore district,andhra-pradesh,2018,4,1814997,3293448556.9734454
93,vizianagaram district,andhra-pradesh,2018,4,1386787,1817673252.5417767
94,visakhapatnam district,andhra-pradesh,2018,4,4791421,7366635864.849373
95,prakasam district,andhra-pradesh,2018,4,1692862,3255254226.03728
96,anantapur district,andhra-pradesh,2018,4,2286391,3975878156.329829
97,ysr district,andhra-pradesh,2018,4,1732527,3252340063.2478595
98,west godavari district,andhra-pradesh,2018,4,1688482,3237504255.4632454
99,kurnool district,andhra-pradesh,2018,4,2508530,3626544852.4069242
100,chittoor district,andhra-pradesh,2018,4,3166201,4979093890.223491
101,guntur district,andhra-pradesh,2018,4,2546620,4730251217.696959
102,krishna district,andhra-pradesh,2018,4,2839161,5416251838.130407
103,east godavari district,andhra-pradesh,2019,1,5440146,7382264724.59952
104,srikakulam district,andhra-pradesh,2019,1,2526855,3407912878.4152584
105,spsr nellore district,andhra-pradesh,2019,1,3333584,5161932216.216368
106,vizianagaram district,andhra-pradesh,2019,1,2798241,3364576948.299301
107,visakhapatnam district,andhra-pradesh,2019,1,9690866,13459857440.552685
108,prakasam district,andhra-pradesh,2019,1,2931081,4807527779.215151
109,anantapur district,andhra-pradesh,2019,1,3891336,6044730653.191345
110,ysr district,andhra-pradesh,2019,1,2852197,4915811593.896078
111,west godavari district,andhra-pradesh,2019,1,2829437,4623764455.47309
112,kurnool district,andhra-pradesh,2019,1,4193432,5541564892.509682
113,chittoor district,andhra-pradesh,2019,1,6486813,8223371732.233585
114,guntur district,andhra-pradesh,2019,1,4846553,7765934169.404485
115,krishna district,andhra-pradesh,2019,1,5443981,9061346433.072681
116,east godavari district,andhra-pradesh,2019,2,4699261,9116404622.47651
117,srikakulam district,andhra-pradesh,2019,2,2019203,4066576539.936839
118,spsr nellore district,andhra-pradesh,2019,2,3141891,6880873007.4820595
119,vizianagaram district,andhra-pradesh,2019,2,2272320,4443041665.039663
120,visakhapatnam district,andhra-pradesh,2019,2,11705738,20797479804.029076
121,prakasam district,andhra-pradesh,2019,2,2670529,6262396448.455349
122,anantapur district,andhra-pradesh,2019,2,3578836,7830782361.377665
123,ysr district,andhra-pradesh,2019,2,2606284,6376856828.130632
124,west godavari district,andhra-pradesh,2019,2,2402074,5676818258.955046
125,kurnool district,andhra-pradesh,2019,2,3895824,7358285187.018034
126,chittoor district,andhra-pradesh,2019,2,5983308,10982727976.224325
127,guntur district,andhra-pradesh,2019,2,5005275,10405246943.481495
128,krishna district,andhra-pradesh,2019,2,6428472,13437029115.620754
129,east godavari district,andhra-pradesh,2019,3,6537303,11387726470.57774
130,srikakulam district,andhra-pradesh,2019,3,2556296,4610131289.524039
131,spsr nellore district,andhra-pradesh,2019,3,4150195,8256600118.735449
132,vizianagaram district,andhra-pradesh,2019,3,2861581,4922069039.19216
133,visakhapatnam district,andhra-pradesh,2019,3,16694947,26944837120.046288
134,prakasam district,andhra-pradesh,2019,3,3430750,7354502261.150911
135,anantapur district,andhra-pradesh,2019,3,4889720,9554081289.488277
136,ysr district,andhra-pradesh,2019,3,3296586,7447544274.2117815
137,west godavari district,andhra-pradesh,2019,3,3179541,6627629029.01413
138,kurnool district,andhra-pradesh,2019,3,5139134,9025632779.412457
139,chittoor district,andhra-pradesh,2019,3,8201783,13837455758.755266
140,guntur district,andhra-pradesh,2019,3,6942304,13075661264.188034
141,krishna district,andhra-pradesh,2019,3,8408474,16404073560.500784
142,east godavari district,andhra-pradesh,2019,4,9285739,16816774065.301317
143,srikakulam district,andhra-pradesh,2019,4,3712555,6832369301.879345
144,spsr nellore district,andhra-pradesh,2019,4,5877804,11786014089.194027
145,vizianagaram district,andhra-pradesh,2019,4,3998234,7175851807.068796
146,visakhapatnam district,andhra-pradesh,2019,4,23594874,39133296330.044624
147,prakasam district,andhra-pradesh,2019,4,4865473,10604077824.801035
148,anantapur district,andhra-pradesh,2019,4,6764112,13887248889.064066
149,ysr district,andhra-pradesh,2019,4,4793157,10865073855.730783
150,west godavari district,andhra-pradesh,2019,4,4596479,9710614747.20177
151,kurnool district,andhra-pradesh,2019,4,7001958,13233105728.54823
152,chittoor district,andhra-pradesh,2019,4,11246986,19298476027.875484
153,guntur district,andhra-pradesh,2019,4,9761330,18565626418.035915
154,krishna district,andhra-pradesh,2019,4,11719402,23039786404.04664
155,east godavari district,andhra-pradesh,2020,1,11346242,21854701379.428688
156,srikakulam district,andhra-pradesh,2020,1,4835092,9777575594.177538
157,spsr nellore district,andhra-pradesh,2020,1,7430247,15387829694.446861
158,vizianagaram district,andhra-pradesh,2020,1,5042066,9879174240.920494
159,visakhapatnam district,andhra-pradesh,2020,1,27115031,48809747614.678894
160,prakasam district,andhra-pradesh,2020,1,6318396,14169104764.526735
161,anantapur district,andhra-pradesh,2020,1,8466129,17864325752.82528
162,ysr district,andhra-pradesh,2020,1,6031255,14059924636.819912
163,west godavari district,andhra-pradesh,2020,1,5919670,12995834340.716236
164,kurnool district,andhra-pradesh,2020,1,8246869,17022710311.813046
165,chittoor district,andhra-pradesh,2020,1,13257740,23441848567.344193
166,guntur district,andhra-pradesh,2020,1,11493331,22992734620.64621
167,krishna district,andhra-pradesh,2020,1,12175289,24481702770.71471
168,east godavari district,andhra-pradesh,2020,2,13130334,26319906327.32029
169,srikakulam district,andhra-pradesh,2020,2,6425515,12153650076.875832
170,spsr nellore district,andhra-pradesh,2020,2,9454274,20665376460.772232
171,vizianagaram district,andhra-pradesh,2020,2,6690313,12819344389.545382
172,visakhapatnam district,andhra-pradesh,2020,2,25300401,48293889917.41437
173,prakasam district,andhra-pradesh,2020,2,8844580,19846026726.904335
174,anantapur district,andhra-pradesh,2020,2,10473739,22094006659.412506
175,ysr district,andhra-pradesh,2020,2,8033609,19597207268.132023
176,west godavari district,andhra-pradesh,2020,2,7273096,16585866855.159784
177,kurnool district,andhra-pradesh,2020,2,9821381,22419372061.805172
178,chittoor district,andhra-pradesh,2020,2,14848197,27361300300.01902
179,guntur district,andhra-pradesh,2020,2,12308707,27463593607.839108
180,krishna district,andhra-pradesh,2020,2,12313709,26964149095.366295
181,east godavari district,andhra-pradesh,2020,3,17972431,39300043804.75851
182,srikakulam district,andhra-pradesh,2020,3,8286289,18029574581.337425
183,spsr nellore district,andhra-pradesh,2020,3,16468209,39128324534.03022
184,vizianagaram district,andhra-pradesh,2020,3,8236703,17567816576.501263
185,visakhapatnam district,andhra-pradesh,2020,3,34421299,67628440368.111465
186,prakasam district,andhra-pradesh,2020,3,12266310,31221704852.44969
187,anantapur district,andhra-pradesh,2020,3,14447683,34102037972.65785
188,ysr district,andhra-pradesh,2020,3,11934653,32037007334.12973
189,west godavari district,andhra-pradesh,2020,3,10412351,25408608725.754295
190,kurnool district,andhra-pradesh,2020,3,13243292,32529351107.17173
191,chittoor district,andhra-pradesh,2020,3,20501863,42811566246.16463
192,guntur district,andhra-pradesh,2020,3,17601395,42531195809.75448
193,krishna district,andhra-pradesh,2020,3,19110457,44788458672.084435
194,east godavari district,andhra-pradesh,2020,4,25989490,58732615663.118416
195,srikakulam district,andhra-pradesh,2020,4,11092184,25222520275.27882
196,spsr nellore district,andhra-pradesh,2020,4,20934374,49115443663.37911
197,vizianagaram district,andhra-pradesh,2020,4,10580824,24094847668.445065
198,visakhapatnam district,andhra-pradesh,2020,4,46551467,91879823025.40399
199,prakasam district,andhra-pradesh,2020,4,16176867,41852443493.515396
200,anantapur district,andhra-pradesh,2020,4,20996384,49732610814.26222
201,ysr district,andhra-pradesh,2020,4,15676878,42572974713.44026
202,west godavari district,andhra-pradesh,2020,4,15674762,40310975762.603455
203,kurnool district,andhra-pradesh,2020,4,18737323,44718203115.22612
204,chittoor district,andhra-pradesh,2020,4,29590411,61505711149.79541
205,guntur district,andhra-pradesh,2020,4,26136538,60641872021.25432
206,krishna district,andhra-pradesh,2020,4,27981050,64461504667.60723
207,east godavari district,andhra-pradesh,2021,1,26190701,60027984987.96951
208,srikakulam district,andhra-pradesh,2021,1,11160473,26486623313.092724
209,spsr nellore district,andhra-pradesh,2021,1,22541428,52210333201.53073
210,vizianagaram district,andhra-pradesh,2021,1,10514582,24153782497.243248
211,visakhapatnam district,andhra-pradesh,2021,1,48248923,95308386037.84721
212,prakasam district,andhra-pradesh,2021,1,15175395,41396223622.174774
213,anantapur district,andhra-pradesh,2021,1,20102957,48353870395.01808
214,ysr district,andhra-pradesh,2021,1,15374473,42570919448.50447
215,west godavari district,andhra-pradesh,2021,1,16015685,42124030669.36126
216,kurnool district,andhra-pradesh,2021,1,17918524,44941629659.56964
217,chittoor district,andhra-pradesh,2021,1,29342609,60947491846.66089
218,guntur district,andhra-pradesh,2021,1,27445045,64207987853.108406
219,krishna district,andhra-pradesh,2021,1,29717175,69715406644.53485
220,east godavari district,andhra-pradesh,2021,2,31717908,74604325863.66068
221,srikakulam district,andhra-pradesh,2021,2,13546232,32298129544.540867
222,spsr nellore district,andhra-pradesh,2021,2,30290406,72283071757.09679
223,vizianagaram district,andhra-pradesh,2021,2,12689494,29140685236.830723
224,visakhapatnam district,andhra-pradesh,2021,2,54390299,114439012713.35336
225,prakasam district,andhra-pradesh,2021,2,19944047,54535328043.04135
226,anantapur district,andhra-pradesh,2021,2,25123346,60987487571.279915
227,ysr district,andhra-pradesh,2021,2,18457361,52523527031.02132
228,west godavari district,andhra-pradesh,2021,2,20950964,57233116236.18796
229,kurnool district,andhra-pradesh,2021,2,21972396,56659287474.995804
230,chittoor district,andhra-pradesh,2021,2,34344902,73654690122.43158
